year,avg_temp
1808,17.11
1809,19.87
1810,19.93
1811,20.00
1812,19.93
1813,20.51
1814,20.43
1815,20.30
1816,20.51
1817,21.88
1818,11.60
1819,20.31
1820,20.58
1821,20.63
1822,20.72
1823,20.71
1824,21.44
1825,21.00
1826,20.94
1827,21.63
1828,20.99
1829,20.91
1830,21.25
1831,20.52
1832,20.20
1833,20.81
1834,20.69
1835,20.17
1836,20.59
1837,20.27
1838,20.21
1839,20.43
1840,20.56
1841,20.91
1842,20.92
1843,20.83
1844,20.66
1845,20.90
1846,21.57
1847,21.10
1848,20.89
1849,20.90
1850,20.39
1851,21.11
1852,21.04
1853,21.53
1854,20.74
1855,21.04
1856,20.49
1857,20.29
1858,20.90
1859,20.98
1860,21.33
1861,20.21
1862,20.22
1863,20.60
1864,21.25
1865,21.55
1866,21.35
1867,21.45
1868,20.94
1869,21.41
1870,21.30
1871,20.87
1872,21.14
1873,21.40
1874,20.77
1875,19.99
1876,21.05
1877,21.39
1878,21.54
1879,21.49
1880,21.20
1881,21.56
1882,20.38
1883,20.65
1884,20.23
1885,20.91
1886,20.55
1887,21.21
1888,21.04
1889,21.05
1890,21.09
1891,21.13
1892,21.39
1893,20.57
1894,20.95
1895,20.97
1896,21.17
1897,20.82
1898,20.92
1899,21.04
1900,21.57
1901,21.89
1902,21.36
1903,20.39
1904,20.61
1905,21.03
1906,21.24
1907,20.45
1908,20.37
1909,21.40
1910,20.65
1911,20.78
1912,20.79
1913,20.40
1914,20.96
1915,21.57
1916,21.73
1917,21.12
1918,21.43
1919,21.43
1920,20.72
1921,20.73
1922,21.39
1923,21.39
1924,21.61
1925,21.37
1926,21.22
1927,21.76
1928,21.72
1929,21.07
1930,21.73
1931,21.60
1932,21.43
1933,21.24
1934,21.52
1935,21.61
1936,22.00
1937,21.82
1938,20.92
1939,21.85
1940,21.59
1941,21.76
1942,21.59
1943,21.35
1944,21.40
1945,20.83
1946,21.76
1947,21.94
1948,20.88
1949,20.68
1950,21.53
1951,21.82
1952,21.92
1953,21.17
1954,21.45
1955,22.10
1956,21.48
1957,21.49
1958,21.85
1959,20.98
1960,22.30
1961,21.14
1962,22.11
1963,22.09
1964,21.07
1965,21.52
1966,22.10
1967,20.92
1968,21.48
1969,21.88
1970,21.53
1971,21.41
1972,21.57
1973,21.42
1974,21.55
1975,21.35
1976,21.28
1977,21.57
1978,21.67
1979,22.06
1980,21.52
1981,21.42
1982,21.04
1983,20.75
1984,21.32
1985,21.72
1986,21.52
1987,21.24
1988,21.65
1989,21.43
1990,21.60
1991,21.65
1992,21.11
1993,21.79
1994,22.02
1995,21.56
1996,21.88
1997,21.45
1998,22.36
1999,22.28
2000,21.49
2001,22.33
2002,22.41
2003,22.17
2004,22.08
2005,22.01
2006,22.05
2007,22.36
2008,22.64
2009,22.63
2010,23.72
2011,21.99
2012,22.48
2013,22.91
